id,worry_text,xata.createdAt,xata.updatedAt,xata.version
rec_cpaiqsaepkdaam39j4lg,"I am worried, that this site wont be helpfull for other people
",2024-05-28T01:03:45.762341Z,2024-05-28T01:03:45.762341Z,0
rec_cpaiquk4v7kogk7dq1e0,I believe that it will be a great place where everyone is welcomed to express their feelings ;),2024-05-28T01:03:54.412375Z,2024-05-28T01:03:54.412375Z,0
rec_cpair0uu0r1laptfilbg,"Worries, worries, worries",2024-05-28T01:04:03.546161Z,2024-05-28T01:04:03.546161Z,0
rec_cpair2uu0r1laptfilc0,I am worried that I am being manipulated and I am unable to do anything about it,2024-05-28T01:04:11.493407Z,2024-05-28T01:04:11.493407Z,0
rec_cpair4k4v7kogk7dq1eg,Job,2024-05-28T01:04:18.750912Z,2024-05-28T01:04:18.750912Z,0
rec_cpair6k4v7kogk7dq1f0,"Мене хвилює, що я недостатньо продуктивна. Хоча зараз працюю на трьох роботах і справді намагаюсь всюди відпрацьовувати по-максимуму. ",2024-05-28T01:04:26.853141Z,2024-05-28T01:04:26.853141Z,0
rec_cpair8k4v7kogk7dq1fg,Ніхто не відповідає на мій пост в блу,2024-05-28T01:04:34.312687Z,2024-05-28T01:04:34.312687Z,0
rec_cpairaeu0r1laptfilcg,ААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААА,2024-05-28T01:04:41.45585Z,2024-05-28T01:04:41.45585Z,0
rec_cpairck4v7kogk7dq1g0,"заїбала діч на роботі з жонглюванням проєктами, клоунство",2024-05-28T01:04:50.505248Z,2024-05-28T01:04:50.505248Z,0
rec_cpairec4v7kogk7dq1gg,заїбало заїбало,2024-05-28T01:04:57.957275Z,2024-05-28T01:04:57.957275Z,0
rec_cpairg44v7kogk7dq1h0,"все довкола відбувається з блискавичною швидкістю абсолютно все хочеться все від цього вити і кричати і плакати водночас. хочеться робити все а пізніше вже руки опускаються і зневіра і так по колу ",2024-05-28T01:05:04.908272Z,2024-05-28T01:05:04.908272Z,0
rec_cpairhuu0r1laptfild0,war,2024-05-28T01:05:11.862951Z,2024-05-28T01:05:11.862951Z,0
rec_cpairkc4v7kogk7dq1hg,I’m worried I’m always going to be barely good enough at my job because of things beyond my control and not having time to breathe and think.,2024-05-28T01:05:21.424618Z,2024-05-28T01:05:21.424618Z,0
rec_cpairm44v7kogk7dq1i0,"I am worried about traveling to my dream vacation this coming month. I am really scared of flying. ",2024-05-28T01:05:28.120614Z,2024-05-28T01:05:28.120614Z,0
rec_cpairniepkdaam39j4m0,a speech i have yo give,2024-05-28T01:05:34.698438Z,2024-05-28T01:05:34.698438Z,0
rec_cpairpeu0r1laptfildg,job,2024-05-28T01:05:41.817693Z,2024-05-28T01:05:41.817693Z,0
rec_cpairraepkdaam39j4mg,my narccasism,2024-05-28T01:05:49.741197Z,2024-05-28T01:05:49.741197Z,0
rec_cpairtaepkdaam39j4n0,my wife doesnt love me anymore,2024-05-28T01:05:57.589005Z,2024-05-28T01:05:57.589005Z,0
rec_cpr2blqpmf361b5sdp8g,gme price dipping,2024-06-22T01:16:07.411675Z,2024-06-22T01:16:07.411675Z,0
rec_cpr2hb2pmf361b5sdp90,Job,2024-06-22T01:28:12.135373Z,2024-06-22T01:28:12.135373Z,0
rec_cpr2hhipmf361b5sdp9g,Losing a client,2024-06-22T01:28:38.039008Z,2024-06-22T01:28:38.039008Z,0
rec_cpr2l3c3e9qv56gfl2og,pooping,2024-06-22T01:36:13.104038Z,2024-06-22T01:36:13.104038Z,0
rec_cpr2nbqpmf361b5sdpc0,never truly being happy again,2024-06-22T01:41:03.768739Z,2024-06-22T01:41:03.768739Z,0
rec_cpr3bp2pmf361b5sdpeg,fucking china stealing everything,2024-06-22T02:24:36.016909Z,2024-06-22T02:24:36.016909Z,0
rec_cpr3huqpmf361b5sdpfg,Divorce,2024-06-22T02:37:47.624999Z,2024-06-22T02:37:47.624999Z,0
rec_cpr3lm2pmf361b5sdpg0,failing and never getting close to the life I imagined as a young dreamer.,2024-06-22T02:45:44.65125Z,2024-06-22T02:45:44.65125Z,0
rec_cpr4b5apmf361b5sdpn0,"college acceptances ",2024-06-22T03:31:33.077208Z,2024-06-22T03:31:33.077208Z,0
rec_cpr59cqpmf361b5sdpr0,"What happens if we go bankrupt and lose the house? What if my mom died from her disease before she can go to the Mayo clinic? ",2024-06-22T04:36:03.299273Z,2024-06-22T04:36:03.299273Z,0
rec_cpr5kg43e9qv56gfl30g,Job,2024-06-22T04:59:44.822386Z,2024-06-22T04:59:44.822386Z,0
rec_cpr5s2ipmf361b5sdptg,Life,2024-06-22T05:15:54.056527Z,2024-06-22T05:15:54.056527Z,0
rec_cpr64243e9qv56gfl320,myself,2024-06-22T05:32:56.703056Z,2024-06-22T05:32:56.703056Z,0
rec_cpr6d0qpmf361b5sdpug,"I dont wanna go to the office next week coz there's this one lead who want's to hold a socialization or smth also becase look hideous ",2024-06-22T05:52:03.155244Z,2024-06-22T05:52:03.155244Z,0
rec_cpr6vkj3kqqsgmsqldig,I am worried that when my dog dies I will have nothing left to live for.,2024-06-22T06:31:46.143336Z,2024-06-22T06:31:46.143336Z,0
rec_cpr70l33kqqsgmsqldj0,Not finding a job and ending up homeless,2024-06-22T06:33:56.598645Z,2024-06-22T06:33:56.598645Z,0
rec_cpr7ld33kqqsgmsqldk0,life,2024-06-22T07:18:12.683369Z,2024-06-22T07:18:12.683369Z,0
rec_cpr82t33kqqsgmsqldkg,"Mom and dad, will have to study abroad in the next few months, they are now in their mid 50s, I am concerned that something bad will happen to them while I was gone.",2024-06-22T07:47:00.200769Z,2024-06-22T07:47:00.200769Z,0
rec_cpr8a5b3kqqsgmsqldm0,"I am getting anxious about this website ",2024-06-22T08:02:29.962647Z,2024-06-22T08:02:29.962647Z,0
rec_cpr8kbc3e9qv56gfl37g,"my job. I don't know when if I will feel truly happy, like I am losing even though I have everything ",2024-06-22T08:24:13.365273Z,2024-06-22T08:24:13.365273Z,0
rec_cpr8p043e9qv56gfl38g,"keeping a roof over four heads. We're expecting our second child, which is wonderful, but also a little scary.",2024-06-22T08:34:08.606207Z,2024-06-22T08:34:08.606207Z,0
rec_cpr9auk3e9qv56gfl39g,That I am impossible to love and am forced to live a life a loan,2024-06-22T09:12:26.249474Z,2024-06-22T09:12:26.249474Z,0
rec_cpr9j5j3kqqsgmsqldq0,"I'm worried about the end 

Bruh 😁",2024-06-22T09:29:58.306296Z,2024-06-22T09:29:58.306296Z,0
rec_cprabir3kqqsgmsqlds0,What my boss will say i. The meeting on monday,2024-06-22T10:22:03.238025Z,2024-06-22T10:22:03.238025Z,0
rec_cprad6ipmf361b5sdv20,"I won't graduate this year cause of this school's shenanigans ",2024-06-22T10:25:30.755295Z,2024-06-22T10:25:30.755295Z,0
rec_cprathipmf361b5sdv2g,Job,2024-06-22T11:00:22.939615Z,2024-06-22T11:00:22.939615Z,0
rec_cprato33kqqsgmsqldu0,being a virgin,2024-06-22T11:00:48.850995Z,2024-06-22T11:00:48.850995Z,0
rec_cprb38qpmf361b5sdv3g,Job,2024-06-22T11:12:35.082827Z,2024-06-22T11:12:35.082827Z,0
rec_cprb6nr3kqqsgmsqldv0,life,2024-06-22T11:19:59.636147Z,2024-06-22T11:19:59.636147Z,0
rec_cprbjn43e9qv56gfl3dg,I don't know if I'll ever meet a woman who genuinely wants my cock,2024-06-22T11:47:40.349946Z,2024-06-22T11:47:40.349946Z,0
rec_cprbkd2pmf361b5sdv5g,"I just want to be loved and I'm a very sexual person who needs someone the same. From wellington, new zealand",2024-06-22T11:49:08.451616Z,2024-06-22T11:49:08.451616Z,0
rec_cprbks33kqqsgmsqle10,Gay dudes will pay for my dick but where the bitches at,2024-06-22T11:50:08.445238Z,2024-06-22T11:50:08.445238Z,0
rec_cprbn0apmf361b5sdv60,Everything,2024-06-22T11:54:41.319334Z,2024-06-22T11:54:41.319334Z,0
rec_cprcc1s3e9qv56gfl3eg,"a lot, but the most acute day-to-day is not having a community or strong social network. partner left me and gaslit me and it severely hurt me and I'm left trying to pick up the pieces",2024-06-22T12:39:35.724357Z,2024-06-22T12:39:35.724357Z,0
rec_cprdqiapmf361b5sdvb0,Used to have a girlfriend back in school. Recently been thinking of her. It's been over 4 years now. I don't wanna reach out to her as it'll be awkward & I don't know what her situation is. I told myself I'm not going to go down that path again. Didn't realise how much I'd miss having a partner.,2024-06-22T14:18:49.435344Z,2024-06-22T14:18:49.435344Z,0
rec_cpremk33kqqsgmsqle6g,"I'm worried that one day, I'll be forced to use a website to do something really really importnat - that's maybe life or death - and I'll get an error like: Sorry, we cannot accept worries longer than 300 characters. ",2024-06-22T15:18:40.41497Z,2024-06-22T15:18:40.41497Z,0
rec_cprfe5r3kqqsgmsqle8g,I had a bad dream mozilla followed google and removed manifest v2 from firefox,2024-06-22T16:08:55.933403Z,2024-06-22T16:08:55.933403Z,0
rec_cprfook3e9qv56gfl3n0,My job is super stressful right now,2024-06-22T16:31:30.117462Z,2024-06-22T16:31:30.117462Z,0
rec_cprgqe43e9qv56gfl3r0,"my relationship has gone to dogs, i regret falling in love with her",2024-06-22T17:43:20.502986Z,2024-06-22T17:43:20.502986Z,0
rec_cprhhhs3e9qv56gfl3t0,Having a baby girl and getting a hard dick when I see her vagina,2024-06-22T18:32:39.450032Z,2024-06-22T18:32:39.450032Z,0
rec_cprijps3e9qv56gfl490,"not able to talk to crush, wh really tries hard to talk to me, but am giving mixed signal due to anxiety ",2024-06-22T19:45:43.007405Z,2024-06-22T19:45:43.007405Z,0
rec_cprl6vk3e9qv56gfl4kg,The possibility of never overcoming a porn addiction and how that might affect my family,2024-06-22T22:43:10.894932Z,2024-06-22T22:43:10.894932Z,0
rec_cps0tcapmf361b5se0r0,Prices on everything going up,2024-06-23T12:01:53.822003Z,2024-06-23T12:01:53.822003Z,0
rec_cps2dm33kqqsgmsqlf1g,job,2024-06-23T13:44:56.256038Z,2024-06-23T13:44:56.256038Z,0
rec_cpsoqmpouted9tr6rar0,Life is tough,2024-06-24T15:14:35.008521Z,2024-06-24T15:14:35.008521Z,0
rec_cpsq6bdm1qquliiktqi0,"my college final work. i don't know if i can finish it in time or if i do, if it will be sufficient to be approved. i need to stop procrastinating and delaying my stuff.",2024-06-24T16:47:41.444652Z,2024-06-24T16:47:41.444652Z,0
rec_cpum9msn6bhkrl86r9ig,Life and wor,2024-06-27T13:10:51.205921Z,2024-06-27T13:10:51.205921Z,0
rec_cpuqnilo1ubnbkml0iqg,learning enough skills to successfully switch to web developer. I keep adding more and more technologies to the list I feel I should learn then just get overwhelmed without making much progress.,2024-06-27T18:13:30.404161Z,2024-06-27T18:13:30.404161Z,0
rec_cq1h6ru7cchpus2bbhng,Being tracked down by Max Kozachenko,2024-07-01T20:37:03.587002Z,2024-07-01T20:37:03.587002Z,0
rec_cq1hi9m7cchpus2bbjeg,my health problems,2024-07-01T21:01:26.308503Z,2024-07-01T21:01:26.308503Z,0
rec_cq1tgl17atcu7m8ojcsg,fuck,2024-07-02T10:37:08.929509Z,2024-07-02T10:37:08.929509Z,0
rec_cq1th597atcu7m8ojct0,i forgot to send my leave request,2024-07-02T10:38:13.615841Z,2024-07-02T10:38:13.615841Z,0
rec_cq1v84eu2t9pbe5m17h0,How life will change once my son is born,2024-07-02T12:35:29.716769Z,2024-07-02T12:35:29.716769Z,0
rec_cq2ab76qimrm68shd6v0,Graduating highschool and being successful in software engineering.,2024-07-03T01:13:00.338467Z,2024-07-03T01:13:00.338467Z,0
rec_cq2d4udtjg316ej421t0,that what I do doesn't matter. I won't find someone and even if I did I won't be good enough.,2024-07-03T04:24:25.92761Z,2024-07-03T04:24:25.92761Z,0
rec_cq2vs4u3pdqks55tt3q0,"That I won't make it in life, that I'llaalways be unworthy ",2024-07-04T01:42:43.260562Z,2024-07-04T01:42:43.260562Z,0
rec_cq3cebd1q7pklhnf6u8g,its ovyr,2024-07-04T16:00:45.433087Z,2024-07-04T16:00:45.433087Z,0
rec_cq4et72gabl3uri78ne0,"my weight ",2024-07-06T07:13:32.497262Z,2024-07-06T07:13:32.497262Z,0
rec_cq5bc7igabl3uri7b1gg,Making money to support my family in future.,2024-07-07T15:37:02.964859Z,2024-07-07T15:37:02.964859Z,0
rec_cq5t1praielhpho0ip2g,everything,2024-07-08T11:43:35.075015Z,2024-07-08T11:43:35.075015Z,0
rec_cq811ldoaproe4l3onmg,im worried that this website isn't really private,2024-07-11T17:05:25.739805Z,2024-07-11T17:05:25.739805Z,0
rec_cqan31chu970iul5hhhg,I’m worried that I worry too much! 😢,2024-07-15T18:59:17.2166Z,2024-07-15T18:59:17.2166Z,0
rec_cqbi13dkqe62d07fj8a0,i don't have enough insta followers,2024-07-17T01:38:21.054079Z,2024-07-17T01:38:21.054079Z,0
rec_cqbi1qlkqe62d07fj8bg,death and life after it,2024-07-17T01:39:54.846853Z,2024-07-17T01:39:54.846853Z,0
rec_ct3cob26f8l3hp4imvk0,staying alone for the rest of my life,2024-11-27T07:37:16.969781Z,2024-11-27T07:37:16.969781Z,0
rec_ct3vu3421pg82rssq1t0,life.,2024-11-28T05:26:36.675713Z,2024-11-28T05:26:36.675713Z,0
rec_ct4m5on47ubemhamg4dg,I'll be nailed to death for my racist remakes!,2024-11-29T06:44:50.123442Z,2024-11-29T06:44:50.123442Z,0
rec_ct4rdqv820g9bs0uip50,I AM BATMAN!!,2024-11-29T12:43:23.953364Z,2024-11-29T12:43:23.953364Z,0
rec_ct4tnrf820g9bs0uj0g0,Im gonna die,2024-11-29T15:21:17.651096Z,2024-11-29T15:21:17.651096Z,0
rec_ct4tobs21pg82rssu4l0,What’s the point of life?,2024-11-29T15:22:23.127954Z,2024-11-29T15:22:23.127954Z,0
rec_ct64iuc21pg82rst2f0g,being alone not having anyone to support or care for me losing all of my friends :(,2024-12-01T11:33:13.377425Z,2024-12-01T11:33:13.377425Z,0
rec_ct8cgfk21pg82rst5950,How people will respond to me being transgender,2024-12-04T21:23:10.301436Z,2024-12-04T21:23:10.301436Z,0
rec_ct9nc2n47ubemhammvfg,yolo,2024-12-06T22:09:14.997014Z,2024-12-06T22:09:14.997014Z,0
rec_ctb9l7c21pg82rst64sg,IDK,2024-12-09T07:22:05.891927Z,2024-12-09T07:22:05.891927Z,0
rec_cte28on48cb6mdmabgpg,"AI, life",2024-12-13T12:11:14.993447Z,2024-12-13T12:11:14.993447Z,0
rec_ctp6pcn48cb6mdmanur0,niggas,2024-12-30T09:49:38.660109Z,2024-12-30T09:49:38.660109Z,0
rec_ctppv94jhg3ku6bnmp7g,job,2024-12-31T07:39:16.414332Z,2024-12-31T07:39:16.414332Z,0
rec_cv69tqe7v7ckmosalrc0,"new job point, future career",2025-03-08T19:47:53.361667Z,2025-03-08T19:47:53.361667Z,0
rec_d05bbhve7tg9vopvs1k0,jobs as a fresher,2025-04-24T22:05:59.674999Z,2025-04-24T22:05:59.674999Z,0
rec_d0shmgded0mvjr6lo09g,If taking time off for my mental health was the right choice cause now who knows how long till i get employment assistance cause i used up all my sick and vacay,2025-05-30T02:43:13.606482Z,2025-05-30T02:43:13.606482Z,0
rec_d36k7h19dvcs844ceo4g,Fighting the cancer. Being liability for loved ones and making it through without losing my job,2025-09-19T11:51:32.743934Z,2025-09-19T11:51:32.743934Z,0
rec_d4b4eb7onno0f0sibj4g,"my grades ",2025-11-13T21:01:32.788196Z,2025-11-13T21:01:32.788196Z,0